index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
91,1711055819,-5004268581778,12273790768534122242111915,true
92,1711055855,-5004270622042,12273790783825550780437059,true
93,1711056071,-5004282862114,12273790875574122010387923,true
94,1711056347,-5004298500550,12273790992808407470880694,true
95,1711056467,-5004305298310,12273791043779835931964507,true
96,1711056539,-5004309376822,12273791074362693008614795,true
97,1711057139,-5004343364422,12273791324467495518359476,true
98,1711057223,-5004348123526,12273791359482167869723731,true
99,1711057607,-5004369883270,12273791519549241475960327,true
100,1711057631,-5004371243326,12273791529553433576350114,true
101,1711059383,-5004470537926,12273792259859456904804583,true
102,1711059395,-5004471217882,12273792264861552954999476,true
103,1711060499,-5004533763898,12273792725054389572929689,true
104,1711061111,-5004568436758,12273792980161288132869264,true
105,1711061519,-5004591556486,12273793150232553839495647,true
106,1711062419,-5004642563086,12273793525389757604112669,true
107,1711062563,-5004650718814,12273793587037863160422591,true
108,1711064135,-5004739742746,12273794260029682150139239,true
109,1711064219,-5004744498910,12273794295991077057986693,true
110,1711064315,-5004749933278,12273794337089814095526641,true
111,1711065155,-5004797476438,12273794696703763174001186,true
112,1711065251,-5004802909174,12273794737802500211541134,true
113,1711065647,-5004825317230,12273794907334790491393419,true
114,1711065659,-5004825996382,12273794912472132621085912,true
115,1711067555,-5004933342214,12273795724172189112499885,true
116,1711067771,-5004945573646,12273795816644347446964768,true
117,1711067855,-5004950330146,12273795852605742354812222,true
118,1711068635,-5004994496086,12273796186532980784824299,true
119,1711069571,-5005047486790,12273796587245666900838792,true
120,1711069871,-5005064474590,12273796715679220143151129,true
121,1711070459,-5005097775970,12273796967408984498083310,true
122,1711070591,-5005105252978,12273797022432041050227139,true
123,1711070855,-5005120208314,12273797132478154154514798,true
124,1711071011,-5005129046182,12273797197505402807048415,true
125,1711071383,-5005150122214,12273797352570380363090117,true
126,1711071431,-5005152841990,12273797372578764563869691,true
127,1711071503,-5005156922014,12273797402591340865039052,true
128,1711071911,-5005180044190,12273797572662606571665435,true
129,1711072091,-5005190245870,12273797647694047324588839,true
130,1711072163,-5005194326686,12273797677706623625758200,true
131,1711072187,-5005195687030,12273797687710815726147987,true
132,1711072295,-5005201809010,12273797732729680177902029,true
133,1711072343,-5005204530034,12273797752738064378681603,true
134,1711073759,-5005284805906,12273798342985398301679051,true
135,1711073879,-5005291609786,12273798393006358803627987,true
136,1711074023,-5005299774874,12273798453028941130275702,true
137,1711074059,-5005301816290,12273798468034586711937630,true
138,1711074083,-5005303177354,12273798478038350433045582,true
139,1711074335,-5005317469282,12273798583077869504679083,true
140,1711074359,-5005318830490,12273798593081633225787035,true
141,1711074623,-5005333804306,12273798703123034157974513,true
142,1711075367,-5005376006218,12273799013239709512321042,true
143,1711078283,-5005541419234,12273800228697001626937277,true
144,1711078331,-5005544141938,12273800248704529069153182,true
145,1711079387,-5005604029810,12273800688870132797903094,true
146,1711079675,-5005620360562,12273800808915297451198524,true
147,1711079759,-5005625122942,12273800843929969802562779,true
148,1711079795,-5005627163890,12273800858936257953147459,true
149,1711081187,-5005706083330,12273801439179399775755119,true
150,1711081895,-5005746232594,12273801734290429548439719,true
151,1711081931,-5005748274370,12273801749296075130101647,true
152,1711082243,-5005765972258,12273801879345003504505030,true
153,1711082495,-5005780267714,12273801984384522576138531,true
154,1711082507,-5005780948426,12273801989386404436692507,true
155,1711084487,-5005893267886,12273802814696911428098592,true
156,1711084535,-5005895991070,12273802834704438870314497,true
157,1711085471,-5005949105326,12273803224851223993524646,true
158,1711085495,-5005950467326,12273803234854987714632598,true
159,1711085711,-5005962725974,12273803324888861204604170,true
160,1711087223,-5006048544070,12273803955125975634405180,true
161,1711087271,-5006051268646,12273803974751386257800192,true
162,1711088159,-5006101676854,12273804337821482790607921,true
163,1711088939,-5006145958234,12273804656734405420776872,true
164,1711090655,-5006243384134,12273805358342835207148564,true
165,1711090715,-5006246790214,12273805382874598486392329,true
166,1711092047,-5006322399862,12273805927479743285603922,true
167,1711092527,-5006349643702,12273806127555017707762973,true
168,1711092599,-5006353730350,12273806157566308871086830,true
169,1711093103,-5006382335374,12273806367645347014353833,true
