index,blockTime,tickCumulative,secondsPerLiquidityCumulativeX128,initialized
201,1708705607,-22536851255638,250412001766406127557372122218,true
202,1708705631,-22536857308534,250412005437205617402176114409,true
203,1708705703,-22536875470894,250412016449600115319739841522,true
204,1708705763,-22536890601874,250412025626598839931749822001,true
205,1708705847,-22536911788438,250412038474397054388563794672,true
206,1708705883,-22536920866018,250412043980596289155769782959,true
207,1708705931,-22536932971378,250412051322195268845377767342,true
208,1708706099,-22536975353410,250412077017782430653026463940,true
209,1708706111,-22536978380278,250412078853182175575428460035,true
210,1708706135,-22536984435790,250412082523980341547949702406,true
211,1708706171,-22536993516826,250412088030177590506731565962,true
212,1708706183,-22536996544414,250412089865576673492992187147,true
213,1708706267,-22537017721150,250412102713375791835053376920,true
214,1708706315,-22537029820366,250412110054975288030516913933,true
215,1708706363,-22537041919726,250412117396574784225980450946,true
216,1708706591,-22537099399210,250412152269172391154432251759,true
217,1708706603,-22537102425070,250412154104572136076834247854,true
218,1708706627,-22537108477990,250412157775371625921638240045,true
219,1708706843,-22537162943470,250412190812567034524874169772,true
220,1708706855,-22537165969750,250412192647966779447276165867,true
221,1708706939,-22537187157574,250412205495764993904090138538,true
222,1708706999,-22537202289754,250412214672763718516100119017,true
223,1708707059,-22537217418874,250412223849762443128110099496,true
224,1708707095,-22537226494582,250412229355962065274707752255,true
225,1708707371,-22537296065626,250412271570159168398623090081,true
226,1708707383,-22537299089602,250412273405559042447488974334,true
227,1708707455,-22537317233674,250412284417958286740684279853,true
228,1708707491,-22537326304666,250412289924157908887281932612,true
229,1708707731,-22537386787546,250412326632155389864599617678,true
230,1708707803,-22537404935074,250412337644554634157794923197,true
231,1708707911,-22537432160470,250412354163153500597587881476,true
232,1708707923,-22537435185946,250412355998553245519989877571,true
233,1708707935,-22537438211746,250412357833952990442391873666,true
234,1708708199,-22537504779610,250412398212747378735235787776,true
235,1708708523,-22537586476534,250412447658436894405607719067,true
236,1708708619,-22537610687926,250412462309011565715347550560,true
237,1708708631,-22537613713930,250412464140333399629065029496,true
238,1708708679,-22537625816362,250412471465620735283934945242,true
239,1708708715,-22537634893978,250412476959586237025087382052,true
240,1708708907,-22537683315418,250412506260735579644567045039,true
241,1708708943,-22537692395338,250412511754701081385719481849,true
242,1708709015,-22537710561082,250412522742628130879929833320,true
243,1708709111,-22537734785050,250412537393197530205543635281,true
244,1708709183,-22537752955330,250412548381124579699753986752,true
245,1708709219,-22537762041766,250412553875088104446859162487,true
246,1708709291,-22537780210246,250412564863015153941069513958,true
247,1708709579,-22537852891942,250412608814723351917910919843,true
248,1708709627,-22537865003926,250412616140008051580717820823,true
249,1708709651,-22537871058670,250412619802650401412121271313,true
250,1708709783,-22537904351446,250412639947190574463013539616,true
251,1708709843,-22537919486986,250412649103796449041522165842,true
252,1708709891,-22537931596618,250412656429081148704329066822,true
253,1708709927,-22537940680822,250412661923044673451434242557,true
254,1708710023,-22537964910070,250412676573614072777048044518,true
255,1708710155,-22537998220006,250412696718146996849767022215,true
256,1708710683,-22538131438630,250412777296278693140642933004,true
257,1708710791,-22538158694266,250412793778169267381958460211,true
258,1708710911,-22538188973146,250412812091381016538975712663,true
259,1708710959,-22538201086810,250412819416665716201782613643,true
260,1708711151,-22538249535898,250412848717804514853010217566,true
261,1708711187,-22538258618734,250412854211768039600115393301,true
262,1708711223,-22538267699842,250412859705731564347220569036,true
263,1708711307,-22538288892706,250412872524979788757132645752,true
264,1708711439,-22538322203038,250412892669512712829851623449,true
265,1708711559,-22538352488158,250412910982724461986868875901,true
266,1708711571,-22538355517246,250412912814045636902570601146,true
267,1708711631,-22538370668746,250412921973670750625688472664,true
268,1708711703,-22538388857170,250412932965220887093429918485,true
269,1708711715,-22538391888946,250412934797145909838053492788,true
