time,price,timeRange(seconds)
2024-02-23T14:47:47Z[UTC],10.42,72
2024-02-23T14:48:11Z[UTC],10.41,24
2024-02-23T14:48:23Z[UTC],10.96,12
2024-02-23T14:48:35Z[UTC],11.08,12
2024-02-23T14:48:47Z[UTC],10.46,12
2024-02-23T14:48:59Z[UTC],10.51,12
2024-02-23T14:49:11Z[UTC],10.58,12
2024-02-23T14:49:23Z[UTC],10.52,12
2024-02-23T14:49:35Z[UTC],10.76,12
2024-02-23T14:49:47Z[UTC],10.62,12
2024-02-23T14:50:11Z[UTC],10.72,24
2024-02-23T14:50:23Z[UTC],10.78,12
2024-02-23T14:50:35Z[UTC],10.63,12
2024-02-23T14:50:59Z[UTC],10.62,24
2024-02-23T14:51:11Z[UTC],10.68,12
2024-02-23T14:51:23Z[UTC],10.85,12
2024-02-23T14:51:35Z[UTC],10.71,12
2024-02-23T14:52:11Z[UTC],10.84,36
2024-02-23T14:52:47Z[UTC],10.92,36
2024-02-23T14:52:59Z[UTC],10.97,12
2024-02-23T14:53:11Z[UTC],10.86,12
2024-02-23T14:53:35Z[UTC],10.73,24
2024-02-23T14:53:47Z[UTC],10.77,12
2024-02-23T14:54:59Z[UTC],10.79,72
2024-02-23T14:55:11Z[UTC],10.84,12
2024-02-23T14:55:23Z[UTC],10.89,12
2024-02-23T14:56:11Z[UTC],11.00,48
2024-02-23T14:56:23Z[UTC],11.10,12
2024-02-23T14:56:35Z[UTC],11.05,12
2024-02-23T14:56:47Z[UTC],11.10,12
2024-02-23T14:57:47Z[UTC],11.15,60
2024-02-23T14:58:11Z[UTC],11.00,24
2024-02-23T14:59:35Z[UTC],11.05,84
2024-02-23T14:59:59Z[UTC],11.19,24
2024-02-23T15:00:35Z[UTC],11.11,36
2024-02-23T15:00:59Z[UTC],11.06,24
2024-02-23T15:01:23Z[UTC],10.94,24
2024-02-23T15:01:47Z[UTC],10.99,24
2024-02-23T15:02:11Z[UTC],10.85,24
2024-02-23T15:02:23Z[UTC],10.95,12
2024-02-23T15:02:35Z[UTC],10.93,12
2024-02-23T15:02:47Z[UTC],10.84,12
2024-02-23T15:03:47Z[UTC],10.94,60
2024-02-23T15:04:47Z[UTC],10.91,60
2024-02-23T15:04:59Z[UTC],10.86,12
2024-02-23T15:05:47Z[UTC],10.80,48
2024-02-23T15:05:59Z[UTC],10.87,12
2024-02-23T15:06:11Z[UTC],10.89,12
2024-02-23T15:07:35Z[UTC],10.94,84
2024-02-23T15:07:47Z[UTC],10.90,12
2024-02-23T15:08:35Z[UTC],10.87,48
2024-02-23T15:08:59Z[UTC],10.93,24
2024-02-23T15:09:11Z[UTC],11.02,12
2024-02-23T15:09:47Z[UTC],11.15,36
2024-02-23T15:09:59Z[UTC],11.33,12
2024-02-23T15:10:23Z[UTC],11.25,24
2024-02-23T15:12:35Z[UTC],11.13,132
2024-02-23T15:13:11Z[UTC],11.04,36
2024-02-23T15:13:47Z[UTC],10.97,36
2024-02-23T15:13:59Z[UTC],11.00,12
2024-02-23T15:15:59Z[UTC],10.93,120
2024-02-23T15:16:47Z[UTC],11.03,48
2024-02-23T15:16:59Z[UTC],11.08,12
2024-02-23T15:17:11Z[UTC],11.15,12
2024-02-23T15:17:23Z[UTC],11.12,12
2024-02-23T15:19:35Z[UTC],11.04,132
2024-02-23T15:19:47Z[UTC],11.14,12
2024-02-23T15:20:11Z[UTC],11.27,24
2024-02-23T15:20:23Z[UTC],11.35,12
2024-02-23T15:20:47Z[UTC],11.30,24
2024-02-23T15:20:59Z[UTC],11.31,12
2024-02-23T15:21:47Z[UTC],11.45,48
2024-02-23T15:21:59Z[UTC],11.62,12
2024-02-23T15:22:23Z[UTC],11.50,24
2024-02-23T15:22:35Z[UTC],11.48,12
2024-02-23T15:22:47Z[UTC],11.60,12
2024-02-23T15:22:59Z[UTC],11.80,12
2024-02-23T15:23:11Z[UTC],11.78,12
2024-02-23T15:23:47Z[UTC],11.83,36
2024-02-23T15:24:47Z[UTC],11.73,60
2024-02-23T15:25:23Z[UTC],11.81,36
2024-02-23T15:25:35Z[UTC],11.86,12
2024-02-23T15:25:47Z[UTC],11.90,12
2024-02-23T15:26:35Z[UTC],11.82,48
2024-02-23T15:26:47Z[UTC],11.89,12
2024-02-23T15:27:23Z[UTC],11.98,36
2024-02-23T15:27:47Z[UTC],11.88,24
2024-02-23T15:27:59Z[UTC],11.82,12
2024-02-23T15:28:11Z[UTC],11.91,12
2024-02-23T15:28:23Z[UTC],12.10,12
2024-02-23T15:28:35Z[UTC],12.09,12
2024-02-23T15:28:47Z[UTC],12.37,12
2024-02-23T15:28:59Z[UTC],12.28,12
2024-02-23T15:29:11Z[UTC],12.17,12
2024-02-23T15:29:23Z[UTC],12.26,12
2024-02-23T15:29:35Z[UTC],12.33,12
2024-02-23T15:30:11Z[UTC],12.44,36
2024-02-23T15:30:47Z[UTC],12.33,36
2024-02-23T15:30:59Z[UTC],12.44,12
2024-02-23T15:31:23Z[UTC],12.46,24
2024-02-23T15:31:47Z[UTC],12.35,24
2024-02-23T15:31:59Z[UTC],12.29,12
2024-02-23T15:32:23Z[UTC],12.25,24
2024-02-23T15:32:47Z[UTC],12.19,24
2024-02-23T15:33:11Z[UTC],12.25,24
2024-02-23T15:34:47Z[UTC],12.32,96
2024-02-23T15:35:35Z[UTC],12.27,48
2024-02-23T15:35:59Z[UTC],12.18,24
2024-02-23T15:36:35Z[UTC],12.07,36
2024-02-23T15:37:35Z[UTC],12.05,60
2024-02-23T15:37:47Z[UTC],12.13,12
2024-02-23T15:38:11Z[UTC],12.00,24
2024-02-23T15:38:59Z[UTC],12.06,48
2024-02-23T15:39:23Z[UTC],12.16,24
2024-02-23T15:39:59Z[UTC],12.13,36
2024-02-23T15:40:35Z[UTC],12.05,36
2024-02-23T15:41:11Z[UTC],12.17,36
2024-02-23T15:41:23Z[UTC],12.14,12
2024-02-23T15:42:23Z[UTC],12.12,60
2024-02-23T15:42:59Z[UTC],12.01,36
2024-02-23T15:43:59Z[UTC],11.96,60
2024-02-23T15:44:11Z[UTC],11.94,12
2024-02-23T15:44:23Z[UTC],12.04,12
2024-02-23T15:45:11Z[UTC],11.87,48
2024-02-23T15:45:23Z[UTC],11.87,12
2024-02-23T15:45:35Z[UTC],11.86,12
2024-02-23T15:45:47Z[UTC],11.70,12
2024-02-23T15:46:11Z[UTC],11.77,24
2024-02-23T15:46:47Z[UTC],11.65,36
2024-02-23T15:47:11Z[UTC],11.61,24
2024-02-23T15:48:23Z[UTC],11.61,72
2024-02-23T15:48:47Z[UTC],11.70,24
2024-02-23T15:48:59Z[UTC],11.63,12
2024-02-23T15:49:11Z[UTC],11.68,12
2024-02-23T15:50:35Z[UTC],11.64,84
2024-02-23T15:51:35Z[UTC],11.72,60
2024-02-23T15:52:23Z[UTC],11.82,48
2024-02-23T15:52:35Z[UTC],11.86,12
2024-02-23T15:53:23Z[UTC],11.85,48
2024-02-23T15:54:11Z[UTC],11.80,48
2024-02-23T15:55:59Z[UTC],11.73,108
2024-02-23T15:57:23Z[UTC],11.66,84
2024-02-23T15:58:23Z[UTC],11.59,60
2024-02-23T15:58:35Z[UTC],11.46,12
2024-02-23T15:59:35Z[UTC],11.40,60
2024-02-23T16:00:11Z[UTC],11.36,36
2024-02-23T16:00:35Z[UTC],11.44,24
2024-02-23T16:00:47Z[UTC],11.40,12
2024-02-23T16:01:23Z[UTC],11.36,36
2024-02-23T16:02:23Z[UTC],11.42,60
2024-02-23T16:04:23Z[UTC],11.30,120
2024-02-23T16:06:11Z[UTC],11.21,108
2024-02-23T16:06:35Z[UTC],11.31,24
2024-02-23T16:06:59Z[UTC],11.29,24
2024-02-23T16:07:11Z[UTC],11.29,12
2024-02-23T16:07:59Z[UTC],11.23,48
2024-02-23T16:08:23Z[UTC],11.28,24
2024-02-23T16:08:59Z[UTC],11.37,36
2024-02-23T16:09:11Z[UTC],11.41,12
2024-02-23T16:09:35Z[UTC],11.40,24
2024-02-23T16:10:23Z[UTC],11.46,48
2024-02-23T16:11:47Z[UTC],11.37,84
2024-02-23T16:13:35Z[UTC],11.29,108
2024-02-23T16:15:23Z[UTC],11.36,108
2024-02-23T16:16:23Z[UTC],11.30,60
2024-02-23T16:17:11Z[UTC],11.20,48
2024-02-23T16:17:59Z[UTC],11.04,48
2024-02-23T16:18:23Z[UTC],10.96,24
2024-02-23T16:20:11Z[UTC],10.91,108
2024-02-23T16:20:47Z[UTC],10.84,36
2024-02-23T16:21:11Z[UTC],10.89,24
2024-02-23T16:24:35Z[UTC],10.95,204
2024-02-23T16:24:47Z[UTC],11.00,12
2024-02-23T16:24:59Z[UTC],11.05,12
2024-02-23T16:25:47Z[UTC],11.10,48
2024-02-23T16:25:59Z[UTC],11.19,12
2024-02-23T16:26:11Z[UTC],11.30,12
2024-02-23T16:26:47Z[UTC],11.22,36
2024-02-23T16:27:11Z[UTC],11.15,24
2024-02-23T16:28:23Z[UTC],11.10,72
2024-02-23T16:29:23Z[UTC],11.18,60
2024-02-23T16:30:47Z[UTC],11.14,84
2024-02-23T16:31:23Z[UTC],11.21,36
2024-02-23T16:32:11Z[UTC],11.16,48
2024-02-23T16:34:59Z[UTC],11.08,168
2024-02-23T16:35:11Z[UTC],11.12,12
2024-02-23T16:35:35Z[UTC],11.03,24
2024-02-23T16:36:11Z[UTC],11.10,36
2024-02-23T16:36:23Z[UTC],11.05,12
2024-02-23T16:37:47Z[UTC],11.27,84
2024-02-23T16:38:35Z[UTC],11.31,48
2024-02-23T16:39:23Z[UTC],11.31,48
2024-02-23T16:43:11Z[UTC],11.27,228
2024-02-23T16:43:23Z[UTC],11.21,12
2024-02-23T16:43:47Z[UTC],11.15,24
2024-02-23T16:47:23Z[UTC],11.21,216
2024-02-23T16:47:35Z[UTC],11.17,12
2024-02-23T16:48:59Z[UTC],11.12,84
2024-02-23T16:49:59Z[UTC],11.16,60
2024-02-23T16:50:59Z[UTC],11.21,60
2024-02-23T16:51:35Z[UTC],11.27,36
2024-02-23T16:56:11Z[UTC],11.31,276
2024-02-23T16:56:23Z[UTC],11.39,12
2024-02-23T16:57:35Z[UTC],11.38,72
2024-02-23T16:58:11Z[UTC],11.42,36
2024-02-23T17:02:11Z[UTC],11.37,240
2024-02-23T17:03:23Z[UTC],11.33,72
2024-02-23T17:05:11Z[UTC],11.29,108
2024-02-23T17:05:23Z[UTC],11.25,12
2024-02-23T17:05:35Z[UTC],11.22,12
2024-02-23T17:09:59Z[UTC],11.21,264
2024-02-23T17:15:23Z[UTC],11.21,324
2024-02-23T17:16:59Z[UTC],11.16,96
2024-02-23T17:17:11Z[UTC],11.20,12
2024-02-23T17:17:59Z[UTC],11.23,48
2024-02-23T17:18:35Z[UTC],11.21,36
2024-02-23T17:21:47Z[UTC],11.16,192
2024-02-23T17:22:23Z[UTC],11.14,36
2024-02-23T17:23:35Z[UTC],11.05,72
2024-02-23T17:25:11Z[UTC],11.01,96
2024-02-23T17:26:23Z[UTC],10.98,72
2024-02-23T17:26:59Z[UTC],10.94,36
2024-02-23T17:28:11Z[UTC],11.00,72
2024-02-23T17:32:59Z[UTC],10.97,288
2024-02-23T17:33:47Z[UTC],11.01,48
2024-02-23T17:34:11Z[UTC],11.07,24
